,en,zh
1807,I'll never stop.,我绝不会停。
22870,Tom grows strawberries in his garden.,汤姆在他的院子里种着草莓。
14499,I don't want a birthday party.,我不想要生日聚会。
13366,I don't think he is truthful.,我不觉得他很诚实。
26095,"Is he going to swim tomorrow? ""Yes, he is.""","他明天会去游泳吗? ""是的, 他会。"""
29037,"Although the government refuses to admit it, its economic policy is in ruins.",尽管政府拒绝承认，它的经济政策还是失败了。
26964,I don't think it's going to be easy to find Tom.,我认为，要找到汤姆可不容易。
16451,She was arrested by the police.,她被警方逮捕了。
16657,Tom always seems to be working.,汤姆看来总是在工作。
25701,This novel is too difficult for me to read.,这本小说对我来说太难读了。
17133,He drank a whole bottle of milk.,他喝了一整瓶的牛奶。
12163,I am not certain about that.,"对于那个,我不确信。"
25746,Tom will come back from Boston next Monday.,汤姆会在下周一从波士顿回来。
6390,Somebody was murdered.,有人被谋杀了。
25661,The city was soon occupied by the soldiers.,很快，城市就被士兵占领了。
14161,All that glitters is not gold.,发光的未必都是金子。
28614,Plastics have taken the place of many conventional materials.,塑料代替了许多传统的原料。
26037,Tom didn't understand what the teacher said.,汤姆没明白老师说了什么。
7923,I got up early as usual.,我和平常一样起得早。
5116,"How's your wife, Tom?",你媳妇怎么样，汤姆？
26441,Honesty is the primary reason for his success.,诚实是他成功的主要原因。
10235,I'm going to learn French.,我要学法语。
344,Is it true?,是真的吗？
456,I also went.,我也去了。
15811,He was involved in the trouble.,他被卷进了是非中。
27590,Please wait for me at the entrance of the building.,请在建筑的入口处等我。
3494,He is a bad driver.,他是个糟糕的司机。
27563,I'm on my way to meet Tom at the station right now.,我现在在去车站见汤姆的路上。
19355,Where do you want to go tomorrow?,你明天想去那里？
8137,Keep it in a cool place.,保存在阴凉的地方。
12094,He went there ten years ago.,他十年前去了那里。
28002,The professor spoke too fast for anyone to understand.,那个教授讲得太快了，没有一个人听得懂。
2215,He caught a cold.,他感冒了。
21224,Tell Tom I'll be there in a minute.,告诉Tom我将在一分钟内到达这里。
5815,Are you talking to me?,你是在对我说吗？
8099,Is French easy to learn?,法语好学吗？
13033,Will this year be different?,今年将会不同以往吗？
11680,Tom rolled down his window.,汤姆拉下了他的窗户。
26551,Some say that China was like a Russian colony.,有人说中国像是俄国的殖民地。
5186,I intend to go there.,我打算去那里。
24542,We've been asked to not do this anymore.,我们被要求不再这么做。
19310,We went for a walk in the forest.,我们去了林中散步。
22600,I'm much better today than yesterday.,我今天觉得比昨天好多了。
1704,How is it going?,你们好吗？
28571,You can't fight a good fight with such a defeatist attitude.,抱着失败主义的态度你无法打一场漂亮的仗。
19983,I've already finished my homework.,我已经完成了我的作业。
27248,She was in trouble because she lost her passport.,她遇到了麻烦，因为她弄丢了她的护照。
28910,"I agree on an emotional level, but on the pragmatic level I disagree.",我感情上支持，但是理性上反对。
15852,His room was covered with dust.,他的房间布满了灰尘。
19834,I helped my brother move his desk.,我帮我弟弟搬了他的书桌。
18463,"Hey, can you turn the lights off?",喂，你能把灯关掉吗？
7567,Words express thoughts.,语言表达思想。
13505,I'd like to go to the movies.,我想去看电影。
3437,Do you feel hungry?,你肚子饿吗？
4152,You're not special.,您不特别。
7247,She's younger than him.,她比他年轻。
17991,Tom wants to tell you something.,汤姆想告诉你一些事情。
25489,He often sits for many hours reading books.,他常常坐着看书一连好几个小时。
8299,The butterfly flew away.,蝴蝶飞走了。
1274,I believed you.,我信过你。
6287,My flight was delayed.,我的航班晚点了。
720,I'm innocent.,我是清白的。
9922,He couldn't run very fast.,他无法跑得非常快。
27851,It's absolutely impossible for me to go on like this.,让我像这样继续下去是绝对不可能的。
24615,Did you plan to eat all of that yourself?,你打算自己一人把它全部吃了吗？
23994,This sofa can seat three people easily.,这张沙发起码可以坐三个人。
12304,I remember locking the door.,我记得锁门了。
13954,Tom says they need more time.,汤姆说他们需要更多时间。
7534,Where is the city hall?,市政府在哪里?
6210,I've been on vacation.,我在休假。
19917,I went for a walk after breakfast.,早餐后我去散步了。
5005,Don't disappoint him.,别让他失望。
24231,I enjoyed talking with him at the party.,聚会上我和他谈得很愉快。
14507,I don't want to miss the exam.,我不想错过考试。
7075,I'm not as tall as you.,我没有你高。
19099,The weather promises to clear up.,有望会变晴。
18839,My father is free this afternoon.,我父亲今天下午有空。
26513,It's been ten years since I came to this town.,我来这个镇有十年了。
5195,I know what you mean.,我知道你的意思。
14902,My favorite sport is baseball.,我最喜欢的运动是棒球。
2273,I am not a witch.,我不是巫婆。
6027,I don't do it anymore.,我已经不再做这个了。
3699,I'm ready to leave.,我准备好出发了。
27263,The poor young man finally became a great artist.,这个穷小子最后成为了一个了不起的艺术家。
10468,Take the pan off the fire.,把平底锅离火。
10495,The economy is picking up.,经济在复苏之中。
1329,I want the fan.,我要那个电风扇。
20282,They only sell women's shoes here.,这里只卖女鞋。
24808,Most people write about their daily life.,大部分人写的东西是关于他们的日常生活的。
10098,I haven't smoked for ages.,我很久没有抽烟了。
6289,My mother is a lawyer.,我妈妈是个律师。
25094,Have you ever thought of becoming a nurse?,你曾经想过当个护士吗?
13438,I never drink tea with lemon.,我从来不喝柠檬茶。
19326,What did you do with that camera?,你用那台相机做了什么？
3448,Does it please you?,它令您快乐吗？
13253,He prefers poetry to fiction.,比起小说，他更喜欢诗歌。
1571,You need to go.,你们得走了。
27849,It takes us a long time to master a foreign language.,精通一门外语需要很长时间。
20958,"I'm sorry, but I really have to go.",我很抱歉，但我必须走了。
17086,Every cloud has a silver lining.,山穷水尽疑无路，柳暗花明又一村。
13814,The moon was full last night.,昨晚是满月。
21147,She elbowed her way onto the train.,她挤上了火车。
13170,Don't give up on your dreams.,别放弃梦想。
3165,The truck is gone.,货车走了。
15413,Where do you want to go today?,你今天想去哪儿呀？
18551,I don't think anyone can do this.,我认为没人能做到。
22846,This is what Tom would want me to do.,这就是汤姆想让我做的。
24598,"Would you like some tea? ""Yes, please.""","来杯茶怎样? ""嗯，好的。"""
21950,I'm getting off at the next station.,我会在下一站下车。
10221,I'll remember you forever.,我会永远记住你的。
2074,What's the rush?,这么着急干什么。
17930,To be always honest is not easy.,要一直诚实是不容易的。
19407,You may choose any book you like.,你可以选择任何你喜欢的书。
7050,I'll be right with you.,我马上就来。
3353,Whose car is this?,这台汽车是谁的?
25105,He knows almost nothing about that animal.,他几乎对那个动物一无所知。
21166,She is going to Sendai this spring.,她今年春天要去仙台。
4256,He entered the army.,他加入了陆军。
23311,Please give me your permanent address.,请给我你的永久地址。
8010,I want to get rid of it.,我想摆脱它。
8156,Mary dyed her hair blue.,玛丽把头发染成蓝色。
13520,I'm afraid I've offended you.,我怕我冒犯了你。
25412,You'd better do as the doctor advised you.,你最好照着医生的建议做。
3658,I was very relaxed.,我很放松。
257,Well done!,做得好！
24238,I found the field trip very educational.,我发现实地考察很有教育意义。
22635,It is bad manners to point at people.,用手指点别人不礼貌。
12235,I had no right to interfere.,我没有权利干涉。
2202,Go straight home.,直接回家。
19081,The rumor turned out to be false.,谣言最后被证明是假的。
6018,I chose the wrong one.,我选了错的那个。
18215,Are you saying that I killed Tom?,你是说是我杀了汤姆吗？
20641,He didn't come to the last meeting.,他最后一场会议没来。
12432,I'm not sure Tom would help.,我不确定汤姆能不能帮忙。
20849,I invited my neighbor to breakfast.,我请我的邻居来吃早饭。
27738,Maybe I'll just give up soon and take a nap instead.,也许我会马上放弃然后去打盹。
17785,The capital of Poland is Warsaw.,波兰的首都是华沙。
19767,I don't have a desk in my bedroom.,我的卧室里没有桌子。
27979,It would be better if you stayed here a little longer.,你最好在这里待久一点。
20014,It is warmer today than yesterday.,今天比昨天暖和。
11833,Why should it be necessary?,为什么它是必要的？
24216,I couldn't remember ever having met her.,我不记得曾经见过她。
5927,He had to stay in bed.,他得卧床休息.
4660,The lake was frozen.,湖冻冰了。
6300,No one encouraged her.,没有人鼓励她。
695,I have a cow.,我有一头母牛。
5584,Tom is a good golfer.,汤姆是个不错的高尔夫球手。
28654,"At the age of six, I was taken to a circus for the first time.",在我六岁的时候，我第一次被带去看马戏。
25987,Social customs vary from country to country.,国家不同，习俗各异。
484,I overslept.,我睡过头了。
9870,Do you regret marrying me?,你后悔跟我结婚吗?
359,Let me try.,让我来。
3733,It's fun to travel.,旅行是令人快乐的。
13496,I wish it would stop raining.,我希望雨会停。
7922,I got up early as usual.,我和往常一样起得很早。
24905,There's no money left in my bank account.,我的银行账户里没留下钱。
15602,Do you want something to drink?,你想要什么喝的吗？
16849,What's the point in doing that?,干嘛那么麻烦?
4810,We've not done well.,我们没有做好。
16827,What he says is total nonsense.,他说的话根本毫无意义。
7930,I have just eaten lunch.,我刚吃过午饭。
17388,I haven't quite finished eating.,我还没有完全吃完。
2527,The book is easy.,这本书很简单。
25084,"Each member has to pay 10,000 yen a month.",每位会员每月需支付一万日元。
28730,One thousand dollars will cover all the expenses for the party.,1000美元将负担聚会的全部费用。
2280,I believe in you.,我相信你。
5706,Who do you live with?,你和谁住在一起？
25995,The chances are he's already heard the news.,他有可能已经得知这消息。
22474,He was driving the car at full speed.,他全速驾驶着。
27286,"Today, many people worry about losing their jobs.",今天，许多人担心失去工作。
16382,Put the egg into boiling water.,把蛋放入沸水中。
2450,My boat is small.,我的船是小的。
6793,Don't throw trash here.,别在这儿扔垃圾。
1504,Tom is sloshed.,汤姆醉了。
19433,Your bicycle is better than mine.,你的脚踏车比我的好。
23722,I don't know anything about their plan.,我对他们的计划一无所知。
20742,His pictures were hung on the wall.,他的画被悬挂在墙上。
27698,"His observations are sharp, but he doesn't say much.",他的观察是敏锐的，但他没有说太多。
25219,My guess is that it will be fine tomorrow.,我猜明天会是好天气。
16092,I want something cold to drink.,我想喝点冷饮。
16185,I'm not always free on Sundays.,我星期日并不总是有空。
16468,Smoking is strictly prohibited.,严禁吸烟。
22170,There was no furniture in that room.,那个房间里没有家具。
4834,What're you reading?,你在看什么？
3612,I lead a busy life.,我有一个忙碌的生活。
11988,Don't walk alone after dark.,不要一个人在黑暗中走。
6120,I sleep on my stomach.,我趴着睡觉。
12610,She continued with the work.,她继续工作。
28574,"What's going on in the cave? I'm curious. ""I have no idea.""",“洞里发生了什么？我很好奇。”“我一点也不知道。”
836,Try it again.,再试一下。
28542,"If you stay at a big hotel, you can use their swimming pool.",若你住到的是大的旅馆，就能使用他们的游泳池。
3566,I don't fear death.,我不怕死。
4129,You live and learn.,你一面生活一面学习。
24095,"You're not trying to trick me, are you?",你没打算耍我，对吧？
26753,"If she had married you, she would be happy now.",如果她和你结婚了，她现在会很幸福。
2306,I don't like her.,我不喜欢她。
15415,Where is the Japanese Embassy?,日本大使馆在哪里？
5504,The kitten wanted in.,小猫想进来。
27797,You should not have lent the money to such a person.,你不应该借钱给这样的人。
766,Look closely.,仔细看
28318,The nearest star to our solar system is Proxima Centauri.,离我们太阳系最近的恒星是比邻星。
803,Tell us more.,告诉我们多一点。
23334,She is looking for her missing wallet.,她正在找她不见了的皮夹。
25004,What do you like to do in your free time?,你空闲时间喜欢做什么？
20899,I want something cold to drink now.,我想现在喝冷的东西。
334,I'm humble.,我是谦虚的。
8887,He taught himself French.,他自学法语。
7224,She has three brothers.,她有三个兄弟。
17112,Have you read this book already?,你读过这本书了吗？
26690,Does this letter have to be written in English?,这封信必须用英文写吗?
2678,What's the hurry?,这么着急干什么。
28422,We were disappointed to hear that Tom couldn't get a visa.,我们很遗憾地听说，汤姆没能拿到签证。
14773,I'm used to working all night.,我习惯整夜工作。
18247,Do you have a table on the patio?,你院子里有桌子吗?
12684,Tell him where he should go.,告诉他该去哪儿。
13838,There is no denying the fact.,这是无可否认的事实。
24594,Your name has been crossed off the list.,你的名字已经从名单删除了。
26487,I was asked to show my passport at the border.,在边境上，我被要求出示我的护照。
12462,I've still got things to do.,我还有点事。
3689,I'm good at soccer.,我擅长足球。
1676,He is very tall.,他很高。
2549,There's no doubt.,毫无疑问。
1061,Never give up.,决不放弃。
3369,Will you use this?,你要用这东西吗？
24121,Are you interested in foreign languages?,你们对外语感兴趣吗？
11144,I have the key to the safe.,保险箱的钥匙在我这儿。
11398,My sister has a nice piano.,我妹妹有架漂亮的钢琴。
18422,He told the students to be quiet.,他告诉了学生要安静。
16421,She is lacking in common sense.,她缺乏常识。
41,Get Tom.,找到汤姆。
22291,We yawn when we are short of oxygen.,我们缺氧时就会打哈欠。
22348,You seem to be waiting for somebody.,你看来在等人。
102,Good job!,做得好！
1966,The taxi's here.,出租车到了。
11501,She's Tom's younger sister.,她是汤姆的妹妹。
19003,"Shouldn't Tom be doing this, too?",Tom也需要做这件事吗？
3213,Tom drank heavily.,汤姆喝得很多。
19903,I was able to answer the question.,我能回答这个问题。
4026,We're having lunch.,我们在吃午餐。
6595,What are your hobbies?,你的爱好是什么？
20330,Tom doesn't usually eat breakfast.,汤姆一般不吃早饭。
1698,How are you all?,大家好吗？
26346,Tom's Japanese is improving little by little.,汤姆的日语一点一点地渐渐进步中。
26824,They demanded the king be put to death at once.,他们要求马上把国王处死。
10241,I'm hoping that'll happen.,我希望那会发生。
3254,Tom must be crazy.,汤姆一定疯了。
2923,I have a proposal.,我有个提案。
28313,She would often go to the theater when she was in London.,她在伦敦的时候，曾经常去剧院。
8868,He may have lost his way.,他可能迷路了。
4568,"More coffee, please.",请再给我一点咖啡。
11235,I wish I could go to Japan.,要是能去日本就好了。
20404,We found that everyone was asleep.,我们发现每个人都睡着了。
7304,The knife is not sharp.,这刀不锋利。
741,Ideas matter.,想法很重要。
25391,What's your favorite way to cook potatoes?,你最喜欢用什么方式煮马铃薯？
28229,"People, old and young, all came out to greet the guests.",无论老幼，人们都出来迎接贵客。
2053,We were friends.,我们是朋友。
4936,Almost everyone came.,几乎每个人都来了。
7510,What made her so angry?,什么事让她这么生气？
18373,He lived in the center of London.,他住在伦敦市中心。
8316,The news made her happy.,这消息让她很高兴。
28344,You should have done it earlier. It cannot be helped now.,你应该早点做的。现在没人可以帮你。
15230,Tom came home early yesterday.,汤姆昨天提早回来了。
18751,I've never considered doing that.,我从没想过去做那事。
9779,You've got a lot of guts.,你胆子很大。
16238,"It looks like snow, doesn't it?",看起来要下雪了，不是吗?
2545,The train's here.,这班火车已经到了。
9792,A fork fell off the table.,叉子从桌上掉了下来。
16596,There's something in your hair.,你头发上粘着什么东西。
6136,I want to go swimming.,我想去游泳。
101,Go ahead.,继续吧。
16592,There's no reason to get angry.,没有生气的理由。
26972,I often slept on that bench when I was homeless.,当我无家可归的时候，我常在那张长椅上睡觉。
133,Look out!,当心！
6384,"Shut the door, please.",请关上门。
13533,I'm new at this kind of work.,我在这种工作上是新人。
26319,Tom didn't need to stay if he didn't want to.,汤姆不想的话他是没必要留下的。
222,Lie still.,躺着不动。
1827,I'm not married.,我单身。
25172,I was watching TV when the telephone rang.,电话响的时候，我在看电视。
2825,He is a big eater.,他是个大胃王。
6179,I'm a college student.,我是一名大学生。
13815,The moon was full last night.,昨晚月亮圆。
7686,Do you have a cellphone?,你有手机吗？
3483,He can drive a car.,他会开车。
17062,Do you still want to talk to me?,你还想跟我谈吗？
18081,What's the meaning of this word?,这个字是什么意思?
1943,She's on a diet.,她在节食中。
14190,Clean the dirt off the mirror.,清理镜子上的灰尘。
26946,He wishes he had gone to the theater last night.,昨晚他希望他去了剧场。
4696,This is not a tiger.,这不是老虎。
27820,He's not such a great writer and I think he knows it.,他不是那么出色的作家我想他知道这一点。
5955,He often plays guitar.,他常常弹吉他。
4720,Tom had no children.,Tom没有孩子。
21308,The police will look into the case.,警察会调查这起案件。
23550,Why should I take the time to do that?,我凭什么花时间做这事？
15421,Who was the letter written to?,信是写给谁的？
4970,Could I try to do it?,我可以尝试着做吗？
14173,Are you insinuating something?,你是不是想暗示什么？
24480,Tom didn't give me what I asked him for.,汤姆没给我我跟他要的。
28406,The train will probably arrive at the station before noon.,火车大概会在中午前到站。
11710,Tom's name was on the list.,汤姆的名字在名单上。
28986,"Rather than cutting down on cigarettes, why don't you just give them up?",比起少抽烟，你何不直接把烟戒了？
17399,I just ate sushi and drank beer.,我刚才吃了寿司喝了啤酒。
26006,The man you met at the station is my father.,你在车站遇到的男人是我爸。
9618,We didn't get an apology.,我们没有收到过道歉。
22352,You should've come a little earlier.,你该早一点来的。
20394,Water poured from the broken pipe.,水从破裂的水管倾泻而出。
239,Stay down!,趴着！
2012,Tom is hammered.,汤姆醉了。
17172,He kept a diary during the trip.,他旅行期间，写了旅游日记。
6084,I laughed at his joke.,他的笑话让我大笑了。
7571,Would you like to wait?,你愿意等吗 ?
5096,Hi! Do you work here?,嗨！你在这儿工作吗？
16228,Is this your first trip abroad?,这是你第一次出国吗？
3008,I'm being patient.,我很有耐心。
6952,I have a bad toothache.,我牙痛得厉害。
20133,She is a native speaker of French.,她的母语是法语。
19059,The fuel tank in the car is full.,汽车油箱是满的。
2447,"Mary, I love you.",玛丽，我喜欢你！
6095,I need a lot of books.,我需要很多书。
15777,He practiced every day at home.,他每天在家练习。
1498,Tom has failed.,汤姆失败了。
26677,"Between you and me, I think our boss is stupid.",我觉得我们老板很蠢，这我就只跟你说。
12574,Nobody had ever heard of it.,以前从来没有人听说过。
16793,We've done everything possible.,我们已竭尽所能。
13048,"You didn't find it, did you?",你没找到，不是么？
2733,Are you my father?,你是我爸吗？
12859,Tom is not easily satisfied.,Tom不容易被满足。
22573,I want to just focus on the positive.,我只想注意积极方面。
4851,Where are you going?,你去哪儿？
27060,There are a lot of dictionaries in the bookcase.,书架上放着很多字典。
24113,A stewardess was rescued from the wreck.,一名空姐从飞机残骸中被救出来了。
18085,When did Tom ask you to do that?,汤姆是甚么时候让你去做的？
5042,He gets tired easily.,他很容易觉得累。
25081,Do you think that he is equal to the task?,你认为他能够胜任这个任务吗?
9291,Let him play your guitar.,让他弹你的吉他。
2485,She began crying.,她开始哭泣。
7974,I only know him by name.,我只知道他的名字。
10670,True love never grows old.,真爱不会变老。
3328,When is breakfast?,早餐是从几点到几点？
28936,I'm looking for a native speaker who could help me correct this essay.,我正在寻找可以帮我修改这篇论文的母语人士。
23059,Even expert drivers can make mistakes.,再怎么经验老到的司机都会出错。
11121,I generally walk to school.,一般我步行去学校。
3519,He's a fast walker.,他走路很快。
829,Tom told him.,汤姆告诉了他。
3988,Tom waved his hand.,汤姆挥手了。
19084,The second lesson is very simple.,第二课非常简单。
27844,Is there any chance that Tom isn't going to be there?,有没有可能汤姆不会去那儿？
4653,The cat is not dead.,那猫没死。
185,I am okay.,我没事。
20342,Tom hung the calendar on the wall.,汤姆把日历挂在墙上。
4490,I'm terribly hungry.,我肚子饿极了。
8229,She is a charming woman.,她是个有有魅力的女性。
10690,We consider it a blessing.,我们把它当作恩惠。
19759,I didn't know Tom was your cousin.,我不知道汤姆是你的堂兄。
24646,He did everything he could for his child.,他为自己的孩子能做的都做了。
25922,Is there anyone who can pronounce this word?,有人可以念这个字吗？
24644,He denied having taken part in the crime.,他否认参与了犯罪。
6292,My room is very small.,我的房间非常小。
13607,It was just a matter of time.,这只是时间上的问题。
25687,These flowers bloom earlier than others do.,这些花比别的花早开花。
25724,Tom is only pretending he isn't interested.,汤姆只是在装没兴趣。
19602,He finally decided to get married.,他最终决定结婚。
4574,My neck still hurts.,我的脖子还疼。
13604,It was a calm winter evening.,这是个静谧的冬夜。
8144,Let's drive to the lake.,让我们开车到湖边。
28664,I heard someone in the crowd outside the station call my name.,我听到车站外的人群中有人在叫我的名字。
6341,She almost passed out.,她几乎喝晕了。
11511,"Suddenly, I heard shouting.",突然，我听到了一声喊叫。
8020,I watched it on YouTube.,我在油管上看它。
10011,I always kept my promises.,我一直信守我的诺言。
5045,He has lots of money.,他有很多钱。
25108,He went fishing instead of playing tennis.,他去钓鱼了，而没去打网球。
13638,"May I have the check, please?",请把账单给我好吗？
26958,I didn't know that Tom was going to be arrested.,我不知道汤姆要被逮捕了。
20011,It is easy to answer the question.,这个问题很容易回答。
22525,I enjoyed driving on the new highway.,我很喜欢在新的高速公路上开车。
17780,The bicycle by the door is mine.,在门口的自行车是我的。
3429,"Come in, it's open.",进来，门开着。
28423,What mountain do you think is the second highest in Japan?,你认为日本第二高峰是哪座山？
12124,How did you enjoy the party?,你在派对上玩得开心吗?
26411,Does the letter need to be written in English?,这封信需要用英文写吗？
11830,Why is Tom still at school?,为什么汤姆还在学校？
4949,"Be quiet, all of you.",你们所有的人都安静。
17349,I don't often do that by myself.,我不经常自己去做。
7976,I owe everything to Tom.,我什么都欠汤姆的。
24665,He wrote a book about a jungle adventure.,他写了一本关于丛林冒险的书。
8729,Come and see me tomorrow.,明天来看看我。
25607,Marriage is the main cause of all divorces.,结婚是所有离婚的主要原因。
23529,What were you and Tom doing yesterday?,你和汤姆昨天做了什么？
23933,The horse stopped and refused to go on.,马停了下来，而且拒绝移动。
19659,He runs a supermarket in the town.,他在这个镇上经营一家超级市场。
5764,You should know this.,你该知道这事。
20092,Please come over if you have time.,如果你有时间的话，请过来一趟。
21060,My father is suffering from a cold.,我父亲感冒了。
24179,He was an intelligent and practical man.,他是聪明能干的人。
6148,I want you to grow up.,我希望你能长大。
16888,Why should anyone be surprised?,为什么任何人应该感到惊喜？
21101,Our teacher comes to school by car.,我们老师开车来学校。
25650,Something must be wrong with the machinery.,这个机器一定有什么地方不对劲。
6425,The cake is delicious.,蛋糕很美味。
28934,I think you will find it convenient to put a short-cut on the desktop.,我想你迟早会知道在桌面建立一个快捷方式是有多方便。
433,Don't leave!,别走！
11275,I'm glad you guys are here.,我很高兴你们都在。
7822,He stuck to his promise.,他信守了承诺.
20112,She carried the box under her arm.,她把箱子挟在手臂下。
353,Keep quiet!,保持安静！
19973,I'm sorry to put you through that.,很抱歉让你遭这罪。
26669,"After the revolution, France became a republic.",革命之后，法国成为了一个共和国。
14891,My father bought me a bicycle.,我父亲给我买了一辆自行车。
18484,How many people are in this room?,在这个房间里有多少人？
21340,There are 30 students in our class.,我们班有三十名学生。
17391,I heard him play the piano once.,我听过一次他弹钢琴。
11509,Speaking English is useful.,说英语很有用。
9014,I don't like you anymore.,我再也不喜欢你了。
28315,The company suffered a loss of one billion yen last year.,那家公司去年亏损了10亿日元。
24375,She pretended not to hear him yesterday.,昨天她装作没有听见他。
25627,People of your age often have this problem.,您这个年龄的人经常有这个问题。
4275,He left an hour ago.,他一小时前走了。
6126,I told Tom what to do.,我告诉了汤姆要做什么。
24760,I'm not accustomed to speaking in public.,我不习惯在公众场合说话。
13836,There is a little water left.,还剩一点水。
5359,It's all Greek to me.,看起来像天书。
4953,Can I ask a question?,我能问个问题吗？
25284,The new Harry Potter movie is pretty lame.,哈利波特的新片十分差。
3571,I don't sleep well.,我睡不好。
16636,This is a picture of my family.,这是一张我全家的照片。
28476,She could hardly keep from laughing when she saw the dress.,"当她看到那件衣服, 她无法抑制自己的笑声。"
20703,He used to meditate in the morning.,他过去时常在早上的时候冥想。
13728,She killed herself yesterday.,她昨天自杀了。
14479,I do my homework after school.,我在放学后做作业。
14654,I want him to play the guitar.,我要他弹吉他。
22584,I wonder if anything happened to him.,我怀疑有什么事在他身上发生了。
7546,Who told you the story?,谁告诉你这个故事？
21449,Tom doesn't want to live in Boston.,汤姆不想住在波士顿。
19144,They looked as if they would cry.,他们看起来好像要哭了。
28434,"All of a sudden, the enemy bombs came down on us like rain.",突然，敌人的炸弹像雨点一样落向我们。
11163,I love passion fruit juice.,我爱百香果汁。
10830,You're on the right track.,你在正确的轨道上。
27768,"The party will be held outdoors, weather permitting.",若天气许可的话，派对将会在户外举行。
1039,It's so early.,太早了。
9535,This toy is made of wood.,这玩具是用木头做的。
17723,She plays tennis in the morning.,她早上打网球。
1256,Here is a book.,这里有一本书。
26472,I fear this work will take up most of my time.,我怕这项工作会占用我大部份的时间。
17697,She gets up early every morning.,她每天早上早起。
20622,Good morning. It's time to wake up.,早安。是该醒来的时候了。
23238,"I'm sorry, I left my homework at home.",抱歉，我把作业落在家里了。
7,Hello!,你好。
5331,Is it already Monday?,已经周一了？
1255,Hello everyone!,大家好！
10829,You're on the right track.,你的想法是对的。
26538,School was closed for the day due to the snow.,学校因大雪停课一天。
3958,Tom is more active.,汤姆更活跃。
25021,Who do you usually go to the movies with?,你一般和谁去看电影？
2090,Why did you cry?,你为什么哭？
290,He is poor.,他很穷。
9563,Tom is a dolphin trainer.,汤姆是海豚训练员。
17981,Tom put his wallet on the table.,汤姆把钱包放在了桌子上。
26453,"I can speak Chinese, but I can't read Chinese.",我会说中文，但是我不会读中文。
540,Lunch is on.,午餐送到了。
10936,Don't talk to me like that.,不要这样对我讲话。
1749,I have two cats.,我有两只猫。
15376,What he said was over my head.,这人讲的我完全听不懂。
11487,She married a rich old man.,她嫁给了一个富有的老男人。
19467,Are you being paid for doing this?,是有人花钱让你做这事吗？
28268,You are old enough to know better than to act like that.,你够大了知道不要那样做。
4235,Get out of my house.,滚出我的房子。
21626,You don't understand the procedure.,你不明白流程。
2649,We'll stay quiet.,我们会保持安静。
13642,Money does not grow on trees.,钱不会从树上长出来。
6664,You are a good person.,您是一个好人。
12710,The answer misses the point.,回答偏了。
8494,We still don't know why.,我们仍然不知道为什么。
27690,He hid in the bushes so that they would not see him.,他藏身在灌木中以免他们发现。
19940,I'd like to work at the cafeteria.,我想在餐厅工作。
26412,Don't get an upset stomach by eating too much.,不要因为吃得太多而扰乱胃的正常消化。
22073,She had two accidents within a year.,她一年内遇到了两次事故。
8489,We made it out of there.,我们从那里逃了出来。
24224,I don't know whether I have time or not.,我不知道我有没有时间。
5923,He gave it a new name.,他给了它一个新名字。
28272,You'll never achieve anything if you don't study harder.,"如果你不更加努力地学习, 你将永远不会有所成就。"
16305,My brother likes horror movies.,我哥哥喜欢恐怖电影。
22682,My grandfather died when I was a boy.,当我是个小男孩的时候，我的祖父就过世了。
22277,We have issues we have to deal with.,我们有我们必须解决的问题。
25621,"No matter what you say, the answer is ""no.""","不管你说什么, 答案就是＂不。＂"
8049,I'll fight to the death.,我会战斗至死。
6708,A thousand yen will do.,1000日元足够了。
20516,You should know that's impossible.,你应该知道这是不可能的。
7676,Come as soon as you can.,尽快来。
21762,He has gone to Italy to study music.,他已经去意大利学习音乐了。
13793,The car got stuck in the mud.,这辆车陷在泥里了。
6003,I am tired of reading.,我厌倦了阅读。
25114,How did you know that was my favorite one?,你怎么知道那是我最喜欢的？
24847,Spring is the best season to visit Kyoto.,春天是访问京都最好的季节。
22175,These patients have trouble walking.,这些患者走路有困难。
15435,Wine made here is very famous.,这里制造的葡萄酒非常有名。
3928,This is way better.,这样好多了。
25186,"If I'd known the truth, I'd have told you.",如果我知道真相，我就告诉你了。
22752,Take care when you cross a busy road.,当你穿越交通繁忙的街道时要小心注意。
12645,She proceeded with the work.,她继续工作。
15794,He traveled all over the world.,他周游世界各地。
25459,"Even though Tom is wealthy, he isn't happy.",即使汤姆很有钱，他也开心不起来。
27276,There are seven men and four women in my section.,在我的部门里有七男四女。
14816,It is getting lighter outside.,外面天色越来越亮了。
26300,There's a big supermarket in my neighborhood.,在我的邻近区域有一个大超市。
10257,I'm working in Boston now.,我现在在波士顿工作。
19605,He gave me food and money as well.,他给了我食物和钱。
27054,The things he says are entirely inconsequential.,他说的话根本毫无意义。
19098,The walls are covered with blood.,墙上沾满了血。
11215,I wanted to show it to you.,我想把它给你看。
18424,He took the wrong bus by mistake.,他搭错了车。
16204,I've been here for a long time.,我在这里很长一段时间了。
15354,We're ready for the next step.,我们准备好了走下一步。
19656,He refused to shake hands with me.,他拒绝跟我握手。
4031,What a lot of pens!,那么多钢笔！
2375,I'm not like Tom.,我跟汤姆不一样。
16613,They told me it was your fault.,他们告诉我这是你的错。
20598,Do you need help carrying anything?,你需要帮忙拿东西吗?
8939,How is the weather there?,那里的天气怎么样？
3884,There goes our bus.,我们的车走了。
16847,What's the exchange rate today?,今天的汇率是多少？
